DEVICE NAME,DESCRIPTION,MAC,EXT,SN,SW,PTO
SEP247E12BF501F,Hab116_S.Cugat,247E12BF501F,10885116,FCH2201DH8Q,SW-AMU139V0-40,gi16
SEP247E12BE0737,Hab115_S.Cugat,247E12BE0737,10885115,FCH2149DJKE,SW-AMU139V0-40,gi15
SEP247E12BF542C,Hab228_S.Cugat,247E12BF542C,10885228,FCH2201DJ58,SW-AMU139V0-42,gi22
SEP247E12BF51AB,Hab218_S.Cugat,247E12BF51AB,10885218,FCH2201DHLC,SW-AMU139V0-41,gi20
SEP247E12BF54CA,Hab219_S.Cugat,247E12BF54CA,10885219,FCH2201DJ9W,SW-AMU139V0-41,gi21
SEP247E12BF5127,Hab220_S.Cugat,247E12BF5127,10885220,FCH2201DHGG,SW-AMU139V0-41,gi22
SEP247E12BF54A7,Hab214_S.Cugat,247E12BF54A7,10885214,FCH2201DJ8V,SW-AMU139V0-41,gi16
SEP247E12BF5384,Hab217_S.Cugat,247E12BF5384,10885217,FCH2201DJ09,SW-AMU139V0-41,gi19
SEP247E12BF4ED4,Hab222_S.Cugat,247E12BF4ED4,10885222,FCH2201DGYY,SW-AMU139V0-41,gi24
SEP247E12BF500C,Hab224_S.Cugat,247E12BF500C,10885224,FCH2201DH85,SW-AMU139V0-42,gi18
SEP247E12BF4E9D,Hab225_S.Cugat,247E12BF4E9D,10885225,FCH2201DGXB,SW-AMU139V0-42,gi19
SEP247E12BF503F,Hab230_0885,247E12BF503F,10885230,FCH2201DH9N,SW-AMU139V0-42,gi24
SEP247E12BF54DE,T_Rojo_UH2_S.Cugat,247E12BF54DE,17774005,FCH2201DJAG,SW-AMU139V0-24,gi4
SEP247E12BF4EE0,Hab226_S.Cugat,247E12BF4EE0,10885226,FCH2201DGZA,SW-AMU139V0-42,gi20
SEP247E12BF54C6,Hab208-1_S.Cugat,247E12BF54C6,10885208,FCH2201DJ9S,SW-AMU139V0-41,gi9
SEP247E12BF509B,Hab202_S.Cugat,247E12BF509B,10885202,FCH2201DHCC,SW-AMU139V0-41,gi2
SEP247E12BECB6F,Hab201_S.Cugat,247E12BECB6F,10885201,FCH2151D31,SW-AMU139V0-41,gi1
SEP247E12BF5516,Hab204_S.Cugat,247E12BF5516,10885204,FCH2201DJC4,SW-AMU139V0-41,gi4
SEP247E12BECC8F,Hab205_S.Cugat,247E12BECC8F,10885205,FCH2151D3VH,SW-AMU139V0-41,gi5
SEP247E12BF5502,Hab206_S.Cugat,247E12BF5502,10885206,FCH2201DJBJ,SW-AMU139V0-41,gi6
SEP247E12BECBAA,Hab223_S.Cugat,247E12BECBAA,10885223,FCH2151D3NS,SW-AMU139V0-42,gi17
SEP247E12BF54BE,Hab208-2_S.Cugat,247E12BF54BE,10885556,FCH2201DJ9J,SW-AMU139V0-41,gi10
SEP247E12BF535F,Hab209_S.Cugat,247E12BF535F,10885209,FCH2201DHZ6,SW-AMU139V0-41,gi11
SEP247E12BF549F,Hab210_S.Cugat,247E12BF549F,10885210,FCH2201DJ8,SW-AMU139V0-41,gi12
SEP247E12BF4FFE,Hab211_S.Cugat,247E12BF4FFE,10885211,FCH2201DH7R,SW-AMU139V0-41,gi13
SEP247E12BF54A5,Hab212_S.Cugat,247E12BF54A5,10885212,FCH2201DJ8T,SW-AMU139V0-41,gi14
SEP247E12BF54A3,Hab213_S.Cugat,247E12BF54A3,10885213,FCH2201DJ8R,SW-AMU139V0-41,gi15
SEP247E12BF54FE,Hab229_S.Cugat,247E12BF54FE,10885229,FCH2201DJBE,SW-AMU139V0-42,gi23
SEP74860B70B85D,Hab315_S.Cugat,74860B70B85D,10885315,FCH2134DNVU,SW-AMU139V0-43,gi15
SEP247E12BE0761,Hab324_S.Cugat,247E12BE0761,10885324,FCH2149DJLN,SW-AMU139V0-44,gi1
SEP74860B70BA90,Hab314_S.Cugat,74860B70BA90,10885314,FCH2134DPCD,SW-AMU139V0-43,gi14
SEP74860B70BAB6,Hab313_S.Cugat,74860B70BAB6,10885313,FCH2134DPDH,SW-AMU139V0-43,gi13
SEP74860B70B825,Hab312_S.Cugat,74860B70B825,10885312,FCH2134DNU6,SW-AMU139V0-43,gi12
SEP247E12BF5454,Hab302_S.Cugat,247E12BF5454,10885302,FCH2201DJ6E,SW-AMU139V0-43,gi3
SEP74860B70BADB,Hab310_S.Cugat,74860B70BADB,10885310,FCH2134DPEL,SW-AMU139V0-43,gi10
SEP247E12BE08CE,Hab318_S.Cugat,247E12BE08CE,10885318,FCH2149DJXE,SW-AMU139V0-43,gi17
SEP74860B70B9DE,Hab308_S.Cugat,74860B70B9DE,10885308,FCH2134DP75,SW-AMU139V0-43,gi8
SEP74860B70B9DE,Hab308_S.Cugat,74860B70B9DE,10885308,FCH2134DP75,SW-AMU139V0-43,gi8
SEPEC1D8B2A0983,Hab307_S.Cugat,EC1D8B2A0983,10885307,FCH2141DCPX,SW-AMU139V0-43,gi7
SEP247E12BF543A,Hab306_S.Cugat,247E12BF543A,10885306,FCH2201DJ5N,SW-AMU139V0-43,gi6
SEP74860B70B8A6,Hab311_S.Cugat,74860B70B8A6,10885311,FCH2134DNXZ,SW-AMU139V0-43,gi11
SEP247E12BE094C,Hab332_S.Cugat,247E12BE094C,10885332,FCH2149DK15,SW-AMU139V0-44,gi7
SEPB4A8B969FB21,Hab331_S.Cugat,B4A8B969FB21,10885331,FCH2149DFWB,SW-AMU139V0-44,gi6
SEP247E12BE0752,Hab330_S.Cugat,247E12BE0752,10885330,FCH2149DJL7,SW-AMU139V0-43,gi19
SEP247E12BE07BA,Hab329_S.Cugat,247E12BE07BA,10885329,FCH2149DJP9,SW-AMU139V0-43,gi20
SEPB4A8B969FCD5,Hab328_S.Cugat,B4A8B969FCD5,10885328,FCH2149DG95,SW-AMU139V0-43,gi21
SEP247E12BE0999,Hab319_S.Cugat,247E12BE0999,10885319,FCH2149DK3E,SW-AMU139V0-43,gi18
SEPB4A8B969FC61,Hab326_S.Cugat,B4A8B969FC61,10885326,FCH2149DG5R,SW-AMU139V0-44,gi21
SEP74860B70BC9A,Hab317_S.Cugat,74860B70BC9A,10885317,FCH2134DPTR,SW-AMU139V0-44,gi8
SEP247E12BF50B6,Hab304_S.Cugat,247E12BF50B6,10885304,FCH2201DHD5,SW-AMU139V0-43,gi4
